e,n,d
131.06679654344714,131.06683937541436,2514
131.3343985469524,131.33444146637058,2515
131.60230217021382,131.60234517718155,2516
131.8705075411633,131.8705506357792,2517
132.1390147879505,132.1390579703132,2518
132.40782403894164,132.40786730914985,2519
132.67693542271854,132.676978780871,2520
132.9463490680832,132.94639251427867,2521
133.21606510405405,133.21610863839138,2522
133.48608365986854,133.48612728244655,2523
133.75640486498298,133.7564485759006,2524
134.0270288490712,134.02707264842738,2525
134.29795574202944,134.29799962992317,2526
134.56918567397105,134.56922965050134,2527
134.84071877523056,134.8407628404965,2528
135.11255517636343,135.11259933046412,2529
135.38469500814605,135.38473925118066,2530
135.6571384015747,135.65718273364246,2531
135.92988548786988,135.92992990906998,2532
136.20293639847128,136.20298090890304,2533
136.47629126504245,136.4763358648052,2534
136.74995021947075,136.74999490866387,2535
137.02391339386503,137.02395817258795,2536
137.29818092055774,137.2982257889099,2537
137.57275293210594,137.57279789018685,2538
137.84762956129128,137.84767460920045,2539
138.12281094111847,138.12285607895555,2540
138.39829720481927,138.39834243268388,2541
138.6740884858493,138.67413380384107,2542
138.9501849178914,138.9502303261101,2543
139.22658663485262,139.22663213339803,2544
139.5032937708683,139.5033393598402,2545
139.78030646029984,139.78035213979808,2546
140.0576248377366,140.0576706078611,2547
140.33524903799494,140.33529489884563,2548
140.61317919612023,140.6132251477971,2549
140.89141544738447,140.89146148998753,2550
141.16995792729125,141.17000406092058,2551
141.4488067715711,141.44885299632682,2552
141.72796211618513,141.72800843216743,2553
142.00742409732507,142.0074705046341,2554
142.28719285141182,142.28723935014787,2555
142.56726851509754,142.5673151053609,2556
142.8476512252662,142.84769790715723,2557
143.128341119033,143.12838789265206,2558
143.4093383337453,143.40938519919283,2559
143.69064300698255,143.69068996435902,2560
143.9722552765565,143.97230232596243,2561
144.25417528051315,144.25422242204914,2562
144.5364031571318,144.5364503908984,2563
144.81893904492566,144.81898637102358,2564
145.1017830826425,145.10183050117243,2565
145.38493540926444,145.38498292032713,2566
145.66839616400898,145.6684437677052,2567
145.95216548633002,145.95221318276063,2568
146.23624351591576,146.23629130518162,2569
146.52063039269277,146.52067827489483,2570
146.80532625682326,146.8053742320625,2571
147.09033124870743,147.09037931708488,2572
147.37564550898216,147.37569367059885,2573
147.6612691785235,147.66131743348058,2574
147.9472023984449,147.94725074684348,2575
148.23344531009923,148.23349375204054,2576
148.51999805507936,148.5200465906647,2577
148.8068607752174,148.806909404548,2578
149.0940336125846,149.09408233576184,2579
149.3815167094935,149.38156552661874,2580
149.66931020849896,149.6693591196737,2581
149.95741425239515,149.95746325772083,2582
150.2458289842194,150.24587808379755,2583
150.53455454725068,150.5346037411829,2584
150.82359108501026,150.82364037339815,2585
151.11293874126338,151.1129881242086,2586
151.402597660019,151.40264713762332,2587
151.69256798552928,151.69261755789444,2588
151.98284986229032,151.98289952951814,2589
152.2734434350443,152.2734931972366,2590
152.56434884877802,152.56439870603677,2591
152.8555662487234,152.8556162011505,2592
153.14709578035922,153.14714582805672,2593
153.4389375894113,153.43898773248122,2594
153.73109182185104,153.73114206039548,2595
154.02355862389786,154.023608958019,2596
154.31633814201933,154.31638857181932,2597
154.60943052293067,154.60948104851178,2598
154.90283591359693,154.9028865350614,2599
155.1965544612314,155.1966051786816,2600
155.4905863132962,155.49063712683457,2601
155.78493161750507,155.78498252723398,2602
156.07959052182204,156.07964152784402,2603
156.37456317446146,156.374614276879,2604
156.66984972388906,156.66990092280474,2605
156.96545031882266,156.96550161433913,2606
157.26136510823193,157.26141650045184,2607
157.5575942413405,157.5576457303666,2608
157.85413786762282,157.8541894535579,2609
158.1509961368103,158.15104781975714,2610
158.44816919888547,158.44822097894698,2611
158.74565720408708,158.7457090813662,2612
159.0434603029074,159.04351227750703,2613
159.3415786460958,159.341630718119,2614
159.6400123846564,159.64006455420625,2615
159.93876166985055,159.93881393703015,2616
160.23782665319587,160.23787901810837,2617
160.53720748646688,160.53725994921555,2618
160.83690432169703,160.83695688238512,2619
161.13691731117663,161.13696996990745,2620
161.43724660745582,161.43729936433272,2621
161.73789236334386,161.73794521847032,2622
162.03885473190803,162.03890768538744,2623
162.34013386647786,162.34018691841376,2624
162.64172992064212,162.6417830711381,2625
162.94364304825035,162.94369629741,2626
163.24587340341483,163.24592675134184,2627
163.54842114050922,163.54847458730728,2628
163.85128641416892,163.85133995994184,2629
164.1544693792937,164.15452302414528,2630
164.45797019104532,164.45802393507947,2631
164.76178900485,164.76184284817055,2632
165.06592597639903,165.06597991911005,2633
165.37038126164725,165.3704353038527,2634
165.67515501681567,165.67520915861962,2635
165.98024739839116,165.9803016398978,2636
166.28565856312602,166.28571290443946,2637
166.59138866803994,166.59144310926445,2638
166.89743787042087,166.89749241166072,2639
167.20380632782297,167.2038609691825,2640
167.51049419806927,167.51054893965284,2641
167.81750163925125,167.81755648116328,2642
168.12482880973016,168.12488375207516,2643
168.43247586813678,168.43253091101928,2644
168.74044297337258,168.7404981168972,2645
169.04873028460818,169.04878552887953,2646
169.35733796128693,169.35739330640968,2647
169.6662661631238,169.66632160920275,2648
169.97551505010492,169.97557059724485,2649
170.285084782491,170.28514043079673,2650
170.5949755208141,170.5950312703906,2651
170.90518742588128,170.90524327683346,2652
171.2157206587732,171.21577661120605,2653
171.52657538084512,171.52663143486373,2654
171.8377517537279,171.83780790943737,2655
172.14924993932925,172.14930619683477,2656
172.46107009983115,172.4611264592379,2657
172.77321239769375,172.77326885910705,2658
173.08567699565373,173.08573355917886,2659
173.39846405672589,173.39852072246825,2660
173.71157374420417,173.7116305122692,2661
174.02500622166065,174.02506309215383,2662
174.3387616529462,174.33881862597306,2663
174.6528402021927,174.65289727785887,2664
174.96724203381245,174.96729921222357,2665
175.2819673124969,175.28202459375862,2666
175.59701620322164,175.59707358743975,2667
175.9123888712428,175.9124463585231,2668
176.2280854820997,176.22814307254805,2669
176.544106201613,176.54416389533534,2670
176.86045119588965,176.86050899299195,2671
177.17712063131856,177.1771785319068,2672
177.49411467457443,177.49417267875475,2673
177.81143349261728,177.81149160049577,2674
178.12907725269164,178.1291354643745,2675
178.44704612232988,178.44710443792337,2676
178.7653402693505,178.76539868896091,2677
179.08395986185855,179.08401838559226,2678
179.4029050682491,179.40296369621248,2679
179.72217605720343,179.72223478950295,2680
180.04177299769347,180.04183183443564,2681
180.3616960589796,180.36175500027102,2682
180.68194541061257,180.68200445655984,2683
181.00252122243475,181.0025803731446,2684
181.32342366457863,181.32348292015777,2685
181.64465290746855,181.6447122680238,2686
181.9662091218213,181.96626858745947,2687
182.2880924786474,182.28815204947543,2688
182.61030314924884,182.6103628253737,2689
182.93284130522397,182.93290108675268,2690
183.25570711846453,183.25576700550414,2691
183.57890076115666,183.57896075381433,2692
183.90242240578343,183.90248250416633,2693
184.2262722251236,184.22633242933898,2694
184.55045039225251,184.5505107024077,2695
184.8749570805436,184.87501749674593,2696
185.19979246366825,185.19985298602515,2697
185.52495671559512,185.52501734421406,2698
185.85045001059342,185.85051074558191,2699
186.17627252323143,186.1763333646971,2700
186.50242442837714,186.5024853764276,2701
186.82890590120078,186.82896695594374,2702
187.15571711717328,187.15577827871647,2703
187.48285825206645,187.4829195205177,2704
187.810329481957,187.8103908574242,2705
188.13813098322234,188.1381924658134,2706
188.46626293254587,188.46632452236884,2707
188.79472550691372,188.79478720407656,2708
189.123518883618,189.12358068822888,2709
189.45264324025547,189.4527051524225,2710
189.7820987547295,189.78216077456096,2711
190.11188560524977,190.11194773285388,2712
190.44200397033447,190.4420662058196,2713
190.7724540288083,190.77251637228287,2714
191.10323595980537,191.1032984113778,2715
191.43434994276774,191.43441250254654,2716
191.7657961574491,191.76585882554284,2717
192.09757478391114,192.09763756042847,2718
192.42968600252917,192.42974888757877,2719
192.76212999398678,192.76219298767737,2720
193.09490693928333,193.09497004172377,2721
193.42801701972758,193.4280802310267,2722
193.76146041694366,193.7615237372104,2723
194.0952373128696,194.09530074221297,2724
194.4293478897576,194.42941142828658,2725
194.76379233017454,194.7638559779983,2726
195.09857081700417,195.09863457423185,2727
195.43368353344593,195.43374740018675,2728
195.769130663017,195.76919463938026,2729
196.1049123895516,196.1049764756466,2730
196.4410288972029,196.44109309313907,2731
196.77748037044276,196.7775446763296,2732
197.11426699406235,197.11433141000933,2733
197.45138895317373,197.45145347929048,2734
197.78884643320893,197.78891106960506,2735
198.12663961992249,198.12670436670774,2736
198.46476869939082,198.46483355667493,2737
198.8032338580125,198.80329882590536,2738
199.1420352825094,199.14210036112084,2739
199.48117315992891,199.4812383493689,2740
199.8206476776418,199.82071297802037,2741
200.16045902334446,200.16052443477162,2742
200.50060738505962,200.50067290764557,2743
200.8410929511365,200.8411585849914,2744
201.18191591025158,201.1819816554857,2745
201.52307645140874,201.5231423081324,2746
201.86457476394173,201.86464073226531,2747
202.20641103751294,202.20647711754688,2748
202.548585462114,202.54865165396885,2749
202.89109822806788,202.89116453185414,2750
203.2339495260292,203.23401594185754,2751
203.57713954698326,203.57720607496438,2752
203.92066848224945,203.92073512249408,2753
204.26453652347928,204.26460327609826,2754
204.60874386265837,204.60881072776257,2755
204.95329069210746,204.95335766980782,2756
205.2981772044819,205.29824429488943,2757
205.64340359277352,205.6434707959993,2758
205.98897005031046,205.9890373664656,2759
206.3348767707587,206.33494419995444,2760
